Operator ID,Operator Name,Owner Name,Owner Number,Check Number,Check Date,Check Amount,Operator CC,Operator API,Partner API,MA API,Partner CC,Property Description,Property State,Property County,Product Code,Product Description,Interest Code,Interest Type,Owner Percent,Distribution Percent,Prod Date,Price,BTU Factor,Gross Volume,Gross Value,Gross Taxes,Gross Deducts,Net Value,Owner Gross Volume,Owner Gross Value,Owner Gross Taxes,Owner Gross Deducts,Owner Net Value
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.4127,ROYALTY INTEREST,0.00345982,0.19,Nov 25,200.93,54.03,3.72,0.00345982,,,,0.7,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.4213,ROYALTY INTEREST,0.00345982,0.2,Aug 25,177.12,57.89,3.06,0.00345982,,,,0.61,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1124269.01,4701704008,,,,CUMBERLEDGE 1 L,WV,DODDRIDGE,,,1.4278,ROYALTY INTEREST,0.00345982,0.19,Jan 25,240.77,55.96,4.3,0.00345982,,,,0.83,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1128152.01,4701704652,,,,FORD 1,WV,DODDRIDGE,,,1.1776,ROYALTY INTEREST,0.00162337,0.15,Jul 25,239.02,92.12,2.59,0.00162337,,,,0.39,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1128152.01,4701704652,,,,FORD 1,WV,DODDRIDGE,,,1.1922,ROYALTY INTEREST,0.00162337,-0.21,Jul 25,-345.69,-131.6,2.63,0.00162337,,,,-0.56,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1128152.01,4701704652,,,,FORD 1,WV,DODDRIDGE,,,1.1936,ROYALTY INTEREST,0.00162337,0.15,Nov 25,312.88,91.18,3.43,0.00162337,,,,0.51,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146806.01,4701701804,,,,PEARCY C L,WV,DODDRIDGE,,,1.2269,ROYALTY INTEREST,0.075,10.75,Nov 25,462.83,143.31,3.23,0.075,,,,34.71,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146911.01,4701703265,,,,WALTON 1 SGC,WV,DODDRIDGE,,,1.1801,ROYALTY INTEREST,0.003125,0.76,Nov 25,752.22,242.11,3.11,0.003125,,,,2.35,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146922.01,4701703297,,,,HINKLE A 1,WV,DODDRIDGE,,,1.1752,ROYALTY INTEREST,0.000118,0.07,Nov 25,1933.05,624.85,3.09,0.000118,,,,0.23,,,,
,"DIVERSIFIED PRODUCTION, LLC",WILSON-JOHNSON FAMILY LLC,1064941,5001502951,"January 27, 2026",1031.33,1146940.01,4701703413,,,,SMITH J W 0458,WV,DODDRIDGE,,,1.2169,ROYALTY INTEREST,0.010176,0.96,Nov 25,302.26,94.35,3.2,0.010176,,,,3.08,,,,
